BJD - 2454833, Corrected Flux
2237.872024379, 1.010184712,
2237.892456342, 1.006496900,
2237.912888405, 1.019608987,
2237.933320567, 1.009460432,
2237.953752529, 1.026367565,
2237.974184590, 1.015899989,
2237.994616751, 1.013913397,
2238.015048812, 1.027889434,
2238.035480771, 1.018727834,
2238.055912931, 1.009794216,
2238.076344990, 1.019223834,
2238.096776948, 1.018114559,
2238.117209106, 1.027004824,
2238.137641164, 1.018523899,
2238.158073121, 1.018537688,
2238.178505277, 1.027616606,
2238.198937333, 1.018323556,
2238.219369289, 1.017400245,
2238.239801444, 1.006227190,
2238.260233498, 1.028958660,
2238.280665453, 1.030391352,
2238.321529659, 1.016895161,
2238.341961712, 0.999306453,
2238.362393764, 1.021140431,
2238.382825816, 1.009240947,
2238.403257867, 1.029031683,
2238.423689918, 1.009176395,
2238.444121968, 1.026752593,
2238.464554018, 1.027493328,
2238.484986067, 1.021166784,
2238.505418115, 1.034664416,
2238.525850264, 1.041806306,
2238.566714259, 1.010691051,
2238.587146406, 1.018763685,
2238.607578352, 1.016400018,
2238.628010398, 1.020260403,
2238.668874489, 1.009859688,
2238.689306533, 0.988209531,
2238.709738677, 1.017493546,
2238.730170621, 1.009459993,
2238.750602664, 1.010998441,
2238.771034807, 1.013065137,
2238.791466749, 1.001990648,
2238.811898790, 0.999986862,
2238.832330931, 1.040835764,
2238.852762972, 1.000497892,
2238.873194912, 1.008714677,
2238.893627052, 1.007886022,
2238.914059092, 1.007824921,
2238.934491030, 1.019982398,
2238.954923168, 1.011622842,
2238.975355207, 1.005473470,
2238.995787144, 1.013437987,
2239.016219281, 1.012315283,
2239.036651317, 1.021428902,
2239.057083253, 0.991157726,
2239.077515389, 1.022919782,
2239.097947423, 0.988945785,
2239.118379358, 1.016201994,
2239.138811492, 1.012060716,
2239.159243526, 1.014636547,
2239.179675559, 1.002171155,
2239.200107591, 1.027082475,
2239.220539624, 1.011921658,
2239.240971656, 1.021614900,
2239.261403687, 1.022015545,
2239.281835718, 0.996857372,
2239.302267748, 0.965568304,
2239.322699778, 1.006076785,
2239.343131807, 1.029169885,
2239.363563936, 1.000068187,
2239.383995864, 1.013594903,
2239.404427892, 0.998739500,
2239.424860020, 1.009363975,
2239.445291947, 1.034470013,
2239.465723973, 1.013057134,
2239.486156099, 1.000408433,
2239.506588025, 1.013488529,
2239.527020050, 0.994957070,
2239.547452175, 1.004812531,
2239.567884099, 1.028526107,
2239.588316123, 0.994904586,
2239.608748246, 1.024520674,
2239.629180169, 1.016278954,
