,"BJD - 2454833, Corrected Flux"
1445,"2262.451514532, 1.047865697,"
1446,"2262.471946178, 1.043356875,"
1447,"2262.492377924, 1.039985363,"
1448,"2262.512809571, 1.019098730,"
1449,"2262.533241116, 1.060323412,"
1450,"2262.553672862, 1.049474067,"
1451,"2262.574104508, 1.024768104,"
1452,"2262.594536053, 1.052353568,"
1453,"2262.614967798, 1.042961304,"
1454,"2262.635399443, 1.037519716,"
1455,"2262.655831088, 1.055779763,"
1456,"2262.676262733, 1.057994803,"
1457,"2262.696694377, 1.039498798,"
1458,"2262.717126121, 1.057677457,"
1459,"2262.737557665, 1.033165438,"
1460,"2262.757989309, 1.041649406,"
1461,"2262.778420952, 1.031385759,"
1462,"2262.798852596, 1.046173443,"
1463,"2262.819284239, 1.054255251,"
1464,"2262.839715882, 1.043664627,"
1465,"2262.860147525, 1.043522080,"
1466,"2262.880579167, 1.051466430,"
1467,"2262.901010810, 1.067500951,"
1468,"2262.921442452, 1.040559765,"
1469,"2262.941874094, 1.035129861,"
1470,"2262.962305736, 1.041759238,"
1471,"2262.982737377, 1.041041136,"
1472,"2263.003169019, 1.039571626,"
1473,"2263.023600660, 1.057840288,"
1474,"2263.044032301, 1.050204838,"
1475,"2263.064464042, 1.032901864,"
1476,"2263.084895683, 1.054644579,"
1477,"2263.105327223, 1.048525620,"
1478,"2263.125758964, 1.037646591,"
1479,"2263.166622144, 1.082712599,"
1480,"2263.187053883, 1.040999206,"
1481,"2263.207485523, 1.070884445,"
1482,"2263.227917062, 1.020297353,"
1483,"2263.248348801, 1.053986476,"
1484,"2263.268780440, 1.066574413,"
1485,"2263.289211979, 1.059727735,"
1486,"2263.309643718, 1.051275531,"
1487,"2263.330075356, 1.063606486,"
1488,"2263.350506994, 1.039069569,"
1489,"2263.370938632, 1.062349417,"
1490,"2263.391370270, 1.020523975,"
1491,"2263.411801908, 1.034399227,"
1492,"2263.432233545, 1.038601389,"
1493,"2263.452665183, 1.035607444,"
1494,"2263.473096920, 1.059839338,"
1495,"2263.493528457, 1.055914161,"
1496,"2263.513960093, 1.056989378,"
1497,"2263.534391830, 1.018716854,"
1498,"2263.575255003, 1.063825928,"
1499,"2263.595686739, 1.083753744,"
1500,"2263.616118274, 1.048053324,"
1501,"2263.656981645, 1.054146438,"
1502,"2263.677413181, 1.049737297,"
1503,"2263.718276551, 1.051695479,"
1504,"2263.738708085, 1.046125382,"
1505,"2263.759139720, 1.050684965,"
1506,"2263.779571454, 1.060599799,"
1507,"2263.800002988, 1.057636941,"
1508,"2263.820434722, 1.068278567,"
1509,"2263.840866356, 1.048032764,"
1510,"2263.861297890, 1.058018412,"
1511,"2263.881729623, 1.031952298,"
1512,"2263.902161256, 1.044066793,"
1513,"2263.922592889, 1.050175397,"
1514,"2263.943024523, 1.056132542,"
1515,"2263.963456155, 1.026274383,"
1516,"2263.983887788, 1.044377509,"
1517,"2264.004319520, 1.047718936,"
1518,"2264.024751052, 1.054516880,"
1519,"2264.065614416, 1.047647949,"
1520,"2264.086045948, 1.058325425,"
1521,"2264.106477579, 1.046393723,"
1522,"2264.126909310, 1.067564458,"
1523,"2264.147340842, 1.051552025,"
1524,"2264.167772473, 1.056765174,"
1525,"2264.188204203, 1.051103898,"
1526,"2264.208635734, 1.049540941,"
1527,"2264.229067464, 1.048324014,"
1528,"2264.249499094, 1.048627638,"
1529,"2264.269930625, 1.049816586,"
1530,"2264.290362355, 1.050769237,"
1531,"2264.310793884, 1.046052295,"
1532,"2264.331225514, 1.054852252,"
1533,"2264.351657243, 1.031351728,"
1534,"2264.372088772, 1.048220885,"
1535,"2264.392520401, 1.047369185,"
1536,"2264.412952130, 1.050507098,"
1537,"2264.433383759, 1.059283447,"
1538,"2264.453815287, 1.053789827,"
1539,"2264.474247016, 1.059578574,"
1540,"2264.494678644, 1.059256339,"
1541,"2264.515110172, 1.046321482,"
1542,"2264.535541899, 1.055569570,"
1543,"2264.555973527, 1.067612150,"
1544,"2264.576405055, 1.048297941,"
1545,"2264.596836782, 1.042797586,"
1546,"2264.617268409, 1.055662390,"
1547,"2264.637700136, 1.053560209,"
1548,"2264.658131663, 1.032297283,"
1549,"2264.678563289, 1.063851150,"
1550,"2264.698995016, 1.046477462,"
1551,"2264.719426542, 1.050655787,"
1552,"2264.739858168, 1.049751838,"
1553,"2264.760289894, 1.050458911,"
1554,"2264.780721420, 1.063611849,"
1555,"2264.801153045, 1.048340707,"
1556,"2264.821584771, 1.058142662,"
1557,"2264.842016396, 1.061041687,"
1558,"2264.862447921, 1.056799122,"
1559,"2264.882879646, 1.047372033,"
1560,"2264.903311270, 1.029162372,"
1561,"2264.923742795, 1.062226534,"
1562,"2264.944174519, 1.053036737,"
1563,"2264.964606144, 1.056641400,"
1564,"2264.985037768, 1.070748212,"
1565,"2265.005469392, 1.057003354,"
1566,"2265.025900915, 1.039254876,"
1567,"2265.046332639, 1.038657396,"
1568,"2265.066764262, 1.062345158,"
1569,"2265.087195786, 1.047185531,"
1570,"2265.107627509, 1.063401835,"
1571,"2265.128059131, 1.056297597,"
1572,"2265.148490654, 1.067563954,"
1573,"2265.168922377, 1.063645284,"
1574,"2265.189353999, 1.056986753,"
1575,"2265.209785521, 1.048790440,"
1576,"2265.230217244, 1.071311771,"
1577,"2265.271080487, 1.051353638,"
1578,"2265.291512109, 1.071427133,"
1579,"2265.311943730, 1.051121867,"
1580,"2265.332375351, 1.058740001,"
1581,"2265.352806972, 1.061474243,"
1582,"2265.373238593, 1.052670605,"
1583,"2265.393670314, 1.057421515,"
1584,"2265.414101935, 1.068005296,"
1585,"2265.434533455, 1.067603195,"
1586,"2265.454965176, 1.053332860,"
1587,"2265.475396796, 1.052208475,"
1588,"2265.495828316, 1.060012609,"
1589,"2265.516260036, 1.064765714,"
1590,"2265.536691655, 1.058608369,"
1591,"2265.557123175, 1.051918878,"
1592,"2265.577554894, 1.067607640,"
1593,"2265.597986513, 1.056303812,"
1594,"2265.618418032, 1.056019385,"
1595,"2265.638849751, 1.067481018,"
1596,"2265.659281370, 1.054904971,"
1597,"2265.679712988, 1.067447371,"
1598,"2265.700144607, 1.043243703,"
1599,"2265.720576225, 1.062061073,"
1600,"2265.741007843, 1.061271702,"
1601,"2265.761439461, 1.062954422,"
1602,"2265.781871079, 1.055667828,"
1603,"2265.802302696, 1.072891328,"
1604,"2265.822734314, 1.050526038,"
1605,"2265.843165931, 1.037429144,"
1606,"2265.884029165, 1.076926132,"
1607,"2265.904460782, 1.049306634,"
1608,"2265.924892498, 1.050517475,"
1609,"2265.945324015, 1.089756302,"
1610,"2265.965755631, 1.073642087,"
1611,"2265.986187348, 1.062730582,"
1612,"2266.047482195, 1.063240335,"
1613,"2266.067913711, 1.080519336,"
1614,"2266.108777042, 1.053473208,"
1615,"2266.129208557, 1.065110834,"
1616,"2266.149640272, 1.046228004,"
1617,"2266.170071886, 1.069078934,"
1618,"2266.190503401, 1.060155891,"
1619,"2266.210935116, 1.072056416,"
1620,"2266.231366730, 1.072084215,"
1621,"2266.251798344, 1.060710317,"
1622,"2266.272229958, 1.091456788,"
1623,"2266.313093186, 1.118605860,"
1624,"2266.333524800, 1.052721362,"
1625,"2266.353956413, 1.059358551,"
1626,"2266.374388026, 1.062690194,"
1627,"2266.394819639, 1.053704454,"
1628,"2266.415251252, 1.119418939,"
1629,"2266.435682865, 1.065447964,"
1630,"2266.456114478, 1.070399299,"
1631,"2266.476546091, 1.066960143,"
1632,"2266.496977703, 1.071909236,"
1633,"2266.517409315, 1.086796943,"
1634,"2266.537840927, 1.068230863,"
1635,"2266.558272639, 1.065333328,"
1636,"2266.578704151, 1.060075081,"
1637,"2266.599135763, 1.064625532,"
1638,"2266.619567475, 1.071506273,"
1639,"2266.639998986, 1.075795163,"
1640,"2266.660430597, 1.074953857,"
1641,"2266.680862308, 1.065605282,"
1642,"2266.701293819, 1.035507049,"
1643,"2266.721725430, 1.043184902,"
1644,"2266.762588751, 1.064949249,"
1645,"2266.783020262, 1.065707091,"
1646,"2266.803451972, 1.062003758,"
1647,"2266.823883582, 1.053547300,"
1648,"2266.844315092, 1.066515907,"
1649,"2266.864746802, 1.063725966,"
1650,"2266.885178411, 1.060684309,"
1651,"2266.905610121, 1.056006027,"
1652,"2266.926041630, 1.060175727,"
1653,"2266.946473240, 1.073753998,"
1654,"2266.966904949, 1.041995418,"
1655,"2266.987336458, 1.075637043,"
1656,"2267.028199775, 1.057263417,"
1657,"2267.048631284, 1.057507364,"
1658,"2267.069062892, 1.075746403,"
1659,"2267.089494600, 1.060881531,"
1660,"2267.109926108, 1.074734408,"
1661,"2267.130357716, 1.080579946,"
1662,"2267.150789424, 1.077906032,"
1663,"2267.171220932, 1.048212627,"
1664,"2267.191652539, 1.072934494,"
1665,"2267.212084147, 1.060912597,"
1666,"2267.232515754, 1.055380819,"
1667,"2267.252947461, 1.083421210,"
1668,"2267.273379068, 1.065463638,"
1669,"2267.293810575, 1.066680211,"
1670,"2267.314242282, 1.056565048,"
1671,"2267.334673888, 1.067814561,"
1672,"2267.355105395, 1.065020550,"
1673,"2267.375537101, 1.066645187,"
1674,"2267.395968707, 1.063019716,"
1675,"2267.416400213, 1.057118348,"
1676,"2267.436831919, 1.095604726,"
1677,"2267.457263525, 1.048495557,"
1678,"2267.477695031, 1.058149753,"
1679,"2267.498126736, 1.068820738,"
1680,"2267.518558342, 1.067502893,"
1681,"2267.538989847, 1.064871222,"
1682,"2267.559421552, 1.063986707,"
1683,"2267.579853157, 1.063935688,"
1684,"2267.600284862, 1.054896145,"
1685,"2267.620716366, 1.055220572,"
1686,"2267.641147971, 1.078204435,"
1687,"2267.661579676, 1.079797191,"
1688,"2267.682011180, 1.062993802,"
1689,"2267.702442784, 1.059659054,"
1690,"2267.722874488, 1.042316816,"
1691,"2267.743306092, 1.069479967,"
1692,"2267.763737596, 1.077382956,"
1693,"2267.784169299, 1.062751965,"
1694,"2267.804600903, 0.997436689,"
1695,"2267.825032406, 1.036218902,"
1696,"2267.845464109, 1.059221949,"
1697,"2267.865895713, 1.061304373,"
1698,"2267.886327216, 1.063872662,"
1699,"2267.906758918, 1.073209102,"
1700,"2267.927190421, 1.067282323,"
1701,"2267.947622024, 1.085374210,"
1702,"2267.988485229, 1.074514392,"
1703,"2268.008916931, 1.061179331,"
1704,"2268.029348533, 1.048099095,"
1705,"2268.049780035, 1.051552247,"
1706,"2268.070211737, 1.066975207,"
1707,"2268.090643338, 1.057057268,"
1708,"2268.111074940, 1.063170042,"
1709,"2268.131506541, 1.067596296,"
1710,"2268.151938143, 1.058558249,"
1711,"2268.172369744, 1.049090952,"
1712,"2268.192801345, 1.051818159,"
1713,"2268.213232946, 1.042845247,"
1714,"2268.233664547, 1.065102967,"
1715,"2268.254096147, 1.062841583,"
1716,"2268.274527748, 1.066588668,"
1717,"2268.294959348, 1.058288457,"
1718,"2268.315391049, 1.054487580,"
1719,"2268.335822549, 1.059701441,"
1720,"2268.356254249, 1.058607786,"
1721,"2268.376685849, 1.073272306,"
1722,"2268.397117349, 1.055654118,"
1723,"2268.417549048, 1.061898293,"
1724,"2268.437980648, 1.043105510,"
1725,"2268.458412147, 1.061397755,"
1726,"2268.478843847, 1.064560477,"
1727,"2268.499275446, 1.065775145,"
1728,"2268.519706945, 1.057716160,"
1729,"2268.540138644, 1.098823392,"
1730,"2268.560570243, 1.052410623,"
1731,"2268.581001841, 1.027250386,"
1732,"2268.601433440, 1.056086209,"
1733,"2268.621865038, 1.057401515,"
1734,"2268.642296537, 1.044379813,"
1735,"2268.662728235, 1.054115406,"
1736,"2268.683159833, 1.083808111,"
1737,"2268.724023029, 1.064467409,"
1738,"2268.744454627, 1.072138093,"
1739,"2268.764886324, 1.068345921,"
1740,"2268.785317822, 1.061724944,"
1741,"2268.805749419, 1.066061678,"
1742,"2268.826181116, 1.053751020,"
1743,"2268.846612614, 1.061480926,"
1744,"2268.867044211, 1.048137608,"
1745,"2268.887475908, 1.081607132,"
1746,"2268.907907404, 1.067732639,"
1747,"2268.928339001, 1.045838385,"
1748,"2268.948770698, 1.043563826,"
1749,"2268.969202194, 1.077705983,"
1750,"2268.989633790, 1.066154073,"
1751,"2269.030496983, 1.050012247,"
1752,"2269.050928679, 1.061690419,"
1753,"2269.071360275, 1.055427988,"
1754,"2269.091791770, 1.051322480,"
1755,"2269.112223466, 1.073485621,"
1756,"2269.132655062, 1.054069310,"
1757,"2269.153086657, 1.071593227,"
1758,"2269.173518252, 1.053965219,"
1759,"2269.193949848, 1.059019216,"
1760,"2269.214381442, 1.063046695,"
1761,"2269.234813137, 1.046053229,"
1762,"2269.255244632, 1.047987750,"
1763,"2269.275676227, 1.049963855,"
1764,"2269.296107822, 1.074737821,"
1765,"2269.316539416, 1.040874406,"
1766,"2269.336971111, 1.070480374,"
1767,"2269.357402605, 1.073995827,"
1768,"2269.377834199, 1.085091254,"
1769,"2269.398265893, 1.065220550,"
1770,"2269.418697387, 1.071840518,"
1771,"2269.439128981, 1.093813700,"
1772,"2269.459560675, 1.062365811,"
1773,"2269.479992168, 1.060328309,"
1774,"2269.500423762, 1.067499319,"
1775,"2269.520855455, 1.041536645,"
1776,"2269.541286949, 1.039388824,"
1777,"2269.561718542, 1.063083039,"
1778,"2269.582150235, 1.072973263,"
1779,"2269.602581828, 1.056551496,"
1780,"2269.623013321, 1.059131648,"
1781,"2269.643445013, 1.058917019,"
1782,"2269.663876606, 1.069288109,"
1783,"2269.684308199, 1.036831518,"
1784,"2269.704739791, 1.077346263,"
1785,"2269.745603076, 1.070810357,"
1786,"2269.766034568, 1.053045569,"
1787,"2269.786466160, 1.088372651,"
1788,"2269.806897852, 1.075148325,"
1789,"2269.827329343, 1.063899302,"
1790,"2269.847760935, 1.072500790,"
1791,"2269.868192627, 1.058370402,"
1792,"2269.888624118, 1.062367798,"
1793,"2269.909055709, 1.056643054,"
1794,"2269.949918892, 1.077694913,"
1795,"2269.970350483, 1.075438496,"
1796,"2269.990782174, 1.073192491,"
1797,"2270.011213665, 1.076926458,"
1798,"2270.031645355, 1.072420729,"
1799,"2270.052076846, 1.073237280,"
1800,"2270.072508437, 1.074793079,"
1801,"2270.092940127, 1.082338694,"
1802,"2270.113371617, 1.061864526,"
1803,"2270.133803208, 1.069133941,"
1804,"2270.154234898, 1.066315081,"
1805,"2270.174666488, 1.077410066,"
1806,"2270.195097978, 1.082946900,"
1807,"2270.215529668, 1.085535627,"
1808,"2270.235961257, 1.060950360,"
1809,"2270.256392747, 1.079909881,"
1810,"2270.276824437, 1.084355803,"
1811,"2270.297256026, 1.063604946,"
1812,"2270.317687715, 1.051397130,"
1813,"2270.338119205, 1.064174707,"
1814,"2270.358550794, 1.069467444,"
1815,"2270.378982483, 1.069937181,"
1816,"2270.399413972, 1.091403780,"
1817,"2270.419845561, 1.094687435,"
1818,"2270.440277249, 1.076452792,"
1819,"2270.460708738, 1.087260523,"
1820,"2270.481140327, 1.047487828,"
1821,"2270.501572015, 1.078263751,"
1822,"2270.522003503, 1.068197255,"
1823,"2270.542435092, 1.078520271,"
1824,"2270.562866780, 1.070582209,"
1825,"2270.583298368, 1.070479197,"
1826,"2270.603729856, 1.093280406,"
1827,"2270.624161544, 1.074144437,"
1828,"2270.644593132, 1.057067177,"
1829,"2270.665024719, 1.079857563,"
1830,"2270.685456307, 1.073178094,"
1831,"2270.705887894, 1.065832005,"
1832,"2270.726319482, 1.074582984,"
1833,"2270.746751069, 1.069309836,"
1834,"2270.767182656, 1.067149144,"
1835,"2270.787614243, 1.086212994,"
1836,"2270.808045830, 1.062572575,"
1837,"2270.828477317, 1.067090530,"
1838,"2270.848909004, 1.071156546,"
1839,"2270.869340591, 1.090453556,"
1840,"2270.889772078, 1.073186166,"
1841,"2270.910203764, 1.072736343,"
1842,"2270.930635351, 1.075714291,"
1843,"2270.951066837, 1.070210010,"
1844,"2270.971498523, 1.078577806,"
1845,"2270.991930109, 1.069355281,"
1846,"2271.012361796, 1.081786779,"
1847,"2271.032793282, 1.083558952,"
1848,"2271.053224868, 1.086584399,"
1849,"2271.073656553, 1.062530599,"
1850,"2271.094088039, 1.098139930,"
1851,"2271.114519625, 1.074346532,"
1852,"2271.134951310, 1.061219170,"
1853,"2271.155382896, 1.076237976,"
1854,"2271.175814381, 1.084054442,"
1855,"2271.196246067, 1.945659275,"
1856,"2271.216677652, 1.089334254,"
1857,"2271.237109137, 1.086046781,"
1858,"2271.257540822, 1.080216234,"
1859,"2271.277972407, 1.087696790,"
1860,"2271.298404092, 1.074261704,"
1861,"2271.318835577, 1.072752873,"
1862,"2271.339267161, 1.033690488,"
1863,"2271.359698846, 1.047147823,"
1864,"2271.380130330, 1.085223025,"
1865,"2271.400561915, 1.055573429,"
1866,"2271.420993499, 1.063573748,"
1867,"2271.441425084, 1.055005492,"
1868,"2271.461856568, 1.065964211,"
1869,"2271.482288252, 1.078983321,"
1870,"2271.502719836, 1.068963435,"
1871,"2271.523151420, 1.059144228,"
1872,"2271.543583004, 1.047763415,"
1873,"2271.564014587, 1.071295512,"
1874,"2271.584446171, 1.063734898,"
1875,"2271.604877755, 1.086714797,"
1876,"2271.625309338, 1.071211588,"
1877,"2271.645741022, 1.036229853,"
1878,"2271.666172605, 1.045036751,"
1879,"2271.686604088, 1.037846959,"
1880,"2271.707035771, 1.050167835,"
1881,"2271.727467354, 1.087374320,"
1882,"2271.747898838, 1.055117719,"
1883,"2271.768330520, 1.064139329,"
1884,"2271.788762103, 1.044204297,"
1885,"2271.809193586, 1.056481339,"
1886,"2271.829625269, 1.032790487,"
1887,"2271.850056851, 1.024496447,"
1888,"2271.870488334, 1.006412339,"
1889,"2271.911351599, 1.032595381,"
1890,"2271.931783281, 1.037452256,"
1891,"2271.952214763, 1.041620803,"
1892,"2271.972646346, 1.039123261,"
1893,"2271.993078028, 1.037368562,"
1894,"2272.013509510, 1.021028649,"
1895,"2272.033941091, 1.019332245,"
1896,"2272.054372773, 1.018231407,"
1897,"2272.074804255, 1.040236066,"
1898,"2272.095235837, 1.031113877,"
1899,"2272.115667418, 1.039729597,"
1900,"2272.136099100, 1.042030669,"
1901,"2272.156530581, 1.050465327,"
1902,"2272.176962263, 1.028862535,"
1903,"2272.197393744, 1.044317407,"
1904,"2272.217825325, 1.040711068,"
1905,"2272.238257006, 1.040539312,"
1906,"2272.258688487, 1.043474540,"
1907,"2272.279120168, 1.047833471,"
1908,"2272.299551749, 1.042745978,"
1909,"2272.319983230, 1.033826813,"
1910,"2272.340414911, 1.028834010,"
1911,"2272.360846492, 1.049511053,"
1912,"2272.381277972, 1.050380250,"
1913,"2272.401709653, 1.033651692,"
1914,"2272.422141233, 1.033124991,"
1915,"2272.442572714, 1.048950394,"
1916,"2272.463004394, 1.038652949,"
1917,"2272.483435975, 1.052576745,"
1918,"2272.503867555, 1.025942439,"
1919,"2272.524299135, 1.053984527,"
1920,"2272.544730715, 1.040658935,"
1921,"2272.565162395, 1.026029593,"
1922,"2272.585593875, 1.046853434,"
1923,"2272.606025455, 1.054485799,"
1924,"2272.626457134, 1.036885695,"
1925,"2272.646888714, 1.057505959,"
1926,"2272.667320194, 1.023006881,"
1927,"2272.687751873, 1.028577186,"
1928,"2272.708183453, 1.058118375,"
1929,"2272.728614932, 1.032388169,"
1930,"2272.749046612, 1.054607787,"
1931,"2272.769478191, 1.044667594,"
1932,"2272.789909670, 1.029388842,"
1933,"2272.810341349, 1.029439934,"
1934,"2272.830772828, 1.062534278,"
1935,"2272.851204507, 1.045363626,"
1936,"2272.871636086, 1.032884303,"
1937,"2272.892067665, 1.051020063,"
1938,"2272.912499244, 1.044836995,"
1939,"2272.932930823, 1.036723876,"
1940,"2272.953362301, 1.038787913,"
1941,"2272.973793980, 1.021202643,"
1942,"2272.994225559, 1.039228204,"
1943,"2273.014657037, 1.062888718,"
1944,"2273.035088716, 1.066995577,"
1945,"2273.055520294, 1.038116402,"
1946,"2273.075951872, 1.020571540,"
1947,"2273.096383450, 1.014033891,"
1948,"2273.116815029, 1.027043927,"
1949,"2273.137246607, 1.026451347,"
1950,"2273.157678285, 1.024119419,"
1951,"2273.178109763, 1.048072285,"
1952,"2273.198541441, 1.062318507,"
1953,"2273.218973018, 1.030631449,"
1954,"2273.239404496, 1.035354050,"
1955,"2273.259836174, 1.018514285,"
1956,"2273.280267752, 1.043956785,"
1957,"2273.300699229, 1.027735994,"
1958,"2273.321130907, 1.036137304,"
1959,"2273.341562484, 1.024160698,"
1960,"2273.361993962, 1.044663190,"
1961,"2273.382425639, 1.045700950,"
1962,"2273.402857216, 1.032819367,"
1963,"2273.423288694, 1.033008548,"
1964,"2273.443720371, 1.037665111,"
1965,"2273.464151948, 1.050277367,"
1966,"2273.484583625, 1.065011783,"
1967,"2273.505015102, 1.042272577,"
1968,"2273.525446679, 1.051756434,"
1969,"2273.545878356, 1.031393331,"
1970,"2273.566309833, 1.050573387,"
1971,"2273.586741409, 1.048961483,"
1972,"2273.607172986, 1.057575174,"
1973,"2273.627604563, 1.042691427,"
1974,"2273.648036139, 1.031158085,"
1975,"2273.668467816, 1.044006317,"
1976,"2273.688899292, 1.043377644,"
1977,"2273.709330869, 1.037629975,"
1978,"2273.729762545, 1.048833156,"
1979,"2273.750194021, 1.045863454,"
1980,"2273.770625698, 1.042461006,"
1981,"2273.791057274, 1.032905839,"
1982,"2273.811488750, 1.049692289,"
1983,"2273.872783478, 1.037354006,"
1984,"2273.893215154, 1.036840840,"
1985,"2273.913646730, 1.039365239,"
1986,"2273.934078206, 1.055964119,"
1987,"2273.954509882, 1.053021793,"
1988,"2273.974941457, 1.040587316,"
1989,"2273.995373033, 1.066845411,"
1990,"2274.015804608, 1.036716510,"
1991,"2274.036236184, 1.047281308,"
1992,"2274.056667860, 1.048938655,"
1993,"2274.077099335, 1.043705212,"
1994,"2274.097530910, 1.051016116,"
1995,"2274.117962586, 1.032234046,"
1996,"2274.138394161, 1.064223372,"
1997,"2274.158825636, 1.051705017,"
1998,"2274.179257312, 1.054594342,"
1999,"2274.199688887, 1.070832134,"
2000,"2274.220120362, 1.049090835,"
2001,"2274.240552037, 1.048626719,"
2002,"2274.260983612, 1.043691846,"
2003,"2274.281415087, 1.049937969,"
2004,"2274.301846762, 1.070511188,"
2005,"2274.363141486, 1.047468292,"
2006,"2274.383572961, 1.045270316,"
2007,"2274.404004635, 1.016491267,"
2008,"2274.424436210, 1.064270324,"
2009,"2274.444867685, 1.052904681,"
2010,"2274.465299359, 1.046063912,"
2011,"2274.485730934, 1.052991438,"
2012,"2274.506162508, 1.046715274,"
2013,"2274.526594082, 1.047039267,"
2014,"2274.547025657, 1.039154208,"
2015,"2274.567457231, 1.050410383,"
2016,"2274.587888805, 1.064852425,"
2017,"2274.608320379, 1.073340177,"
2018,"2274.628752054, 1.061419722,"
2019,"2274.649183528, 1.039988908,"
2020,"2274.669615102, 1.046823129,"
2021,"2274.690046776, 1.060510124,"
2022,"2274.710478350, 1.050121899,"
2023,"2274.730909824, 1.052725482,"
2024,"2274.751341497, 1.057529108,"
2025,"2274.771773071, 1.057797157,"
2026,"2274.792204545, 1.042232179,"
2027,"2274.812636219, 1.062023273,"
2028,"2274.833067793, 1.052721309,"
2029,"2274.853499266, 1.060011767,"
2030,"2274.873930940, 1.050719272,"
2031,"2274.894362514, 1.052346971,"
2032,"2274.914794187, 1.059073247,"
2033,"2274.935225661, 1.052770209,"
2034,"2274.955657234, 1.057158377,"
2035,"2274.976088807, 1.058991818,"
2036,"2274.996520381, 1.057522144,"
2037,"2275.016951854, 1.053600718,"
2038,"2275.037383528, 1.057865004,"
2039,"2275.057815101, 1.052662505,"
2040,"2275.098678247, 1.068735119,"
2041,"2275.119109820, 1.057409828,"
2042,"2275.139541393, 1.066280676,"
2043,"2275.159972967, 1.051770728,"
2044,"2275.180404540, 1.123247650,"
2045,"2275.200836213, 1.040326132,"
2046,"2275.221267785, 1.060282315,"
2047,"2275.241699258, 1.051886828,"
2048,"2275.262130931, 1.046651015,"
2049,"2275.282562504, 1.057959360,"
2050,"2275.302993977, 1.084381234,"
2051,"2275.323425650, 1.063402584,"
2052,"2275.343857223, 1.055199731,"
2053,"2275.364288695, 1.066320295,"
2054,"2275.384720368, 1.060650325,"
2055,"2275.405151941, 1.070777003,"
2056,"2275.425583613, 1.057472860,"
2057,"2275.446015086, 1.060146239,"
2058,"2275.466446658, 1.055361135,"
2059,"2275.486878331, 1.100689366,"
2060,"2275.507309803, 1.059306854,"
2061,"2275.527741376, 1.065596774,"
2062,"2275.548173048, 1.083060306,"
2063,"2275.589036093, 1.064670357,"
2064,"2275.609467665, 1.071254135,"
2065,"2275.629899237, 1.042089473,"
2066,"2275.650330809, 1.050425565,"
2067,"2275.670762382, 1.061920025,"
2068,"2275.691193954, 1.043125896,"
2069,"2275.711625626, 1.072242819,"
2070,"2275.732057198, 1.058598525,"
2071,"2275.752488670, 1.056243526,"
2072,"2275.772920342, 1.057332707,"
2073,"2275.793351914, 1.051728464,"
2074,"2275.854646630, 1.061418972,"
2075,"2275.895509774, 1.057141741,"
2076,"2275.915941346, 1.057016052,"
2077,"2275.936372818, 1.061890964,"
2078,"2275.956804489, 1.050790254,"
2079,"2275.977236061, 1.076504676,"
2080,"2275.997667733, 1.059872253,"
2081,"2276.018099205, 1.065489856,"
2082,"2276.038530776, 1.084602123,"
2083,"2276.079393920, 1.052819536,"
2084,"2276.099825491, 1.074491308,"
2085,"2276.120257163, 1.051760101,"
2086,"2276.140688634, 1.057782972,"
2087,"2276.161120206, 1.057515915,"
2088,"2276.181551877, 1.061076421,"
2089,"2276.201983449, 1.054405571,"
2090,"2276.222415020, 1.071414524,"
2091,"2276.263278163, 1.068127096,"
2092,"2276.283709734, 1.064281253,"
2093,"2276.324572877, 1.074755945,"
2094,"2276.345004448, 1.046779800,"
2095,"2276.365436020, 1.071543606,"
2096,"2276.385867491, 1.064049120,"
2097,"2276.406299162, 1.068168840,"
2098,"2276.426730733, 1.058684649,"
2099,"2276.447162204, 1.040841467,"
2100,"2276.467593876, 1.063590976,"
2101,"2276.488025447, 1.064681347,"
2102,"2276.508457118, 1.050889795,"
2103,"2276.528888589, 1.063024630,"
2104,"2276.549320160, 1.053951584,"
2105,"2276.569751831, 1.070927934,"
2106,"2276.590183302, 1.092193009,"
2107,"2276.610614873, 1.063110533,"
2108,"2276.631046544, 1.052075002,"
2109,"2276.651478015, 1.061886450,"
2110,"2276.671909586, 1.066450704,"
2111,"2276.692341257, 1.051603128,"
2112,"2276.712772828, 1.048070515,"
2113,"2276.733204299, 1.062245845,"
2114,"2276.753635970, 1.066855333,"
2115,"2276.774067541, 1.059974940,"
2116,"2276.814930682, 1.062880793,"
2117,"2276.835362253, 1.061935067,"
2118,"2276.855793924, 1.063954633,"
2119,"2276.876225395, 1.074438681,"
2120,"2276.896656965, 1.061764581,"
2121,"2276.917088636, 1.059625889,"
2122,"2276.937520107, 1.061810946,"
2123,"2276.957951678, 1.076448418,"
2124,"2276.978383348, 1.070629487,"
2125,"2276.998814819, 1.058060276,"
2126,"2277.019246490, 1.058716479,"
2127,"2277.060109531, 1.059936419,"
2128,"2277.080541202, 1.030689429,"
2129,"2277.100972672, 1.049789104,"
2130,"2277.121404243, 1.055623957,"
2131,"2277.141835913, 1.081856368,"
2132,"2277.162267384, 1.063909413,"
2133,"2277.182698955, 1.045114866,"
2134,"2277.203130625, 1.063300747,"
2135,"2277.223562196, 1.056887174,"
2136,"2277.243993666, 1.056341705,"
2137,"2277.264425337, 1.067647118,"
2138,"2277.305288478, 1.065216268,"
2139,"2277.325720048, 1.065885926,"
2140,"2277.346151619, 1.054296903,"
2141,"2277.366583289, 1.065316082,"
2142,"2277.387014760, 1.051651511,"
2143,"2277.407446330, 1.074895693,"
