,"BJD - 2454833, Corrected Flux"
679,"2245.738335932, 1.051092572,"
680,"2245.758767725, 1.027682923,"
681,"2245.779199617, 0.995717295,"
682,"2245.799631609, 1.026743692,"
683,"2245.820063400, 1.001353591,"
684,"2245.840495291, 1.055521264,"
685,"2245.860927282, 0.990248551,"
686,"2245.881359072, 1.012014039,"
687,"2245.901790962, 1.047798825,"
688,"2245.922222952, 0.998430905,"
689,"2245.942654741, 1.011507325,"
690,"2245.963086629, 1.022464623,"
691,"2245.983518518, 1.019964659,"
692,"2246.003950406, 0.990865967,"
693,"2246.044814180, 1.024078374,"
694,"2246.065246067, 1.016740546,"
695,"2246.085677953, 1.006609351,"
696,"2246.106109939, 1.018296421,"
697,"2246.167405595, 0.979364355,"
698,"2246.187837379, 1.058358296,"
699,"2246.208269263, 1.022106964,"
700,"2246.228701246, 1.033207478,"
701,"2246.249133030, 1.025634016,"
702,"2246.269564912, 1.004165997,"
703,"2246.289996895, 1.016779325,"
704,"2246.310428677, 0.991930079,"
705,"2246.330860658, 1.018493022,"
706,"2246.351292539, 1.000934392,"
707,"2246.371724320, 1.024627167,"
708,"2246.412588180, 1.017730691,"
709,"2246.433019960, 1.030381984,"
710,"2246.453451939, 1.001499851,"
711,"2246.473883818, 1.023496708,"
712,"2246.494315697, 1.036820775,"
713,"2246.514747575, 0.998511910,"
714,"2246.535179452, 1.004183384,"
715,"2246.555611329, 1.007599115,"
716,"2246.576043306, 1.045960084,"
717,"2246.596475083, 1.016585154,"
718,"2246.616906959, 1.007411634,"
719,"2246.637338935, 1.007748548,"
720,"2246.657770710, 1.020893156,"
721,"2246.678202585, 1.011131000,"
722,"2246.698634559, 1.022631223,"
723,"2246.719066333, 1.026587590,"
724,"2246.739498207, 1.045783466,"
725,"2246.759930081, 1.015645589,"
726,"2246.780361953, 1.042970129,"
727,"2246.800793726, 1.019824749,"
728,"2246.821225698, 1.006088901,"
729,"2246.841657570, 1.017780357,"
730,"2246.862089441, 1.001718207,"
731,"2246.902953183, 1.026728340,"
732,"2246.923385053, 1.049779819,"
